take_profit_pct,trim_pct,windows,mean_diff,median_diff,left_tail_p05,left_tail_p10,right_tail_p90,right_tail_p95,pct_outperform,score_left,score_right,score_robust,tail_objective_score
0.15,0.05,2926,-52.79263891300729,0.0,-1301.4148908905245,-811.192511013076,832.8530593750038,1140.4192395387436,44.087491455912506,0.9332898838127804,0.1168442734282163,1.0,0.6950272123161332
0.15,0.1,2926,-91.26402239760415,0.0,-2345.2763255400005,-1528.268520200003,1572.6806748000017,2084.601090337502,43.711551606288445,0.8091990884000211,0.25582332543554837,0.9744779582366588,0.6597142464943431
0.15,0.15,2926,-120.62982696533953,0.0,-3234.459928063363,-2164.5545617054668,2224.228147875474,2925.125104328943,43.7799043062201,0.7034958821673295,0.37954443970511925,0.9791183294663576,0.6338726941585692
0.15,0.2,2926,-145.06324962279572,0.0,-4064.0815344000075,-2700.8980215679985,2758.9964177920046,3595.7318829279975,43.7799043062201,0.6048732090761497,0.47825454971257375,0.9791183294663576,0.6043121233060976
0.2,0.05,2926,-107.96196622013849,-17.139549999999872,-740.2441984375037,-480.31180999999197,235.98999374999767,346.6144124999955,29.357484620642516,1.0,0.0,0.0,0.6
0.15,0.25,2926,-167.83178513457256,0.0,-4799.59818197632,-3200.0827924804726,3219.233713867179,4144.3238164062495,43.91660970608339,0.5174374222873417,0.5590046581680339,0.9883990719257544,0.5770037580153906
0.1,0.05,2926,-406.5412019335597,-127.07959968000068,-2945.56838646924,-2172.573589486645,1026.575307821462,1645.1825735693383,40.6015037593985,0.7378383532985394,0.19114302169613273,0.763341067285383,0.5763800252165017
0.12,0.05,2926,-371.0190696312498,-122.60312115624401,-2259.597508104751,-1676.9125183343567,639.4267953078524,1001.7641047812504,37.38892686261107,0.8193843028860174,0.096434900839405,0.5452436194895591,0.5750854139323879
0.2,0.1,2926,-207.4300271261112,-34.279099999999744,-1420.8772369999933,-926.2968600000022,471.95614000000205,687.2477999999974,29.42583732057416,0.9190885951565171,0.050139605243149976,0.004640371229698164,0.566959075789825
0.15,0.3,2926,-191.42254077779,0.0,-5329.677112425003,-3613.0496464499993,3564.474349504493,4604.995015237499,43.506493506493506,0.4544233919500588,0.6268132550463635,0.960556844547564,0.5567536961387007
0.08,0.05,2926,-520.3836124986123,-271.46016916562075,-3598.7338636481036,-2649.9189669558764,1464.6377355257173,2097.8476929849785,40.80656185919344,0.6601922013200476,0.257773161981026,0.777262180974478,0.5511734874837841
0.2,0.15,2926,-298.6636628941819,-51.418649999999616,-2070.124741874999,-1375.3503000000055,706.9701149999964,1021.409249999997,29.562542720437456,0.8419081987691917,0.09932657224437644,0.013921113689094976,0.5363350023037373
0.2,0.2,2926,-381.91863702255637,-66.1777800000018,-2707.0817299999962,-1822.2503999999972,942.0079800000021,1361.6410000000033,29.59671907040328,0.7661888583696799,0.14940705836873297,0.016241299303944298,0.5061595624628222
0.12,0.1,2926,-626.3795272976089,-240.259103649998,-3851.590812079441,-2975.460472197992,1231.895646968107,1875.1694683569658,37.55980861244019,0.6301334034614755,0.22499599248206148,0.5568445475638053,0.5012632945778842
0.1,0.1,2926,-633.9008340653023,-237.3709973484947,-4796.02380016411,-3616.406753165662,1906.3667561203474,2903.916239379847,40.66985645933015,0.517862332977078,0.3764225962357883,0.7679814385150816,0.5004423225084914
0.2,0.25,2926,-457.44699633138185,-78.55625000000146,-3299.101148437494,-2211.476625000003,1179.5334999999977,1702.051250000004,29.630895420369104,0.6958115476508705,0.199513818839246,0.01856148491879338,0.47919722273417537
0.2,0.3,2926,-525.4970709627473,-94.26750000000175,-3813.047490750001,-2609.637630000001,1415.4401999999973,2046.103597500005,29.69924812030075,0.6347153060424687,0.2501566786400311,0.023201856148491788,0.45819637283233977
0.08,0.1,2926,-756.3144993764536,-478.2161264732131,-5816.788588500647,-4241.813979877159,2541.9271164166785,3517.5633779017935,40.70403280929597,0.39651719049985623,0.4667485196864917,0.7703016241299305,0.4549650326188543
0.1,0.15,2926,-754.1783132817856,-360.9241239693729,-6228.359526182816,-4542.720758161646,2625.7921274603723,3904.2727567732636,40.63568010936432,0.3475909984493708,0.5236702904581226,0.7656612529002323,0.4422218114970825
0.05,0.05,2926,-859.2443493440463,-441.62787572635716,-5615.741183291997,-4135.031927436525,1994.914222687883,2977.076980099235,40.15721120984279,0.420417041188746,0.38719150731021,0.7331786542923437,0.44172554233554495
0.12,0.15,2926,-798.3336816434928,-351.9937914750044,-5188.595923125002,-3943.1315309785386,1757.9618772212052,2627.7487525533525,37.8673957621326,0.47119465719360515,0.33577206320348774,0.5777262180974477,0.4412210350869542
0.1,0.3,2926,-831.2219866258017,-548.7622579500057,-7783.8307737175855,-6265.0098933799345,4127.916947336995,5962.545605952262,41.42173615857826,0.16268172031986342,0.8266382082478255,0.8190255220417634,0.42750304687044205
0.1,0.25,2926,-832.0045102404717,-483.8442163085929,-7433.326401350385,-5777.471341109267,3694.0687040562625,5392.592186816323,40.80656185919344,0.2043485210263203,0.7427437912847806,0.777262180974478,0.42315846809867413
0.1,0.2,2926,-811.429475266166,-420.3382951159365,-7031.818178015572,-5252.594691017657,3237.1963182399995,4734.037941823472,40.66985645933015,0.2520784908715146,0.645807756571677,0.7679814385150816,0.42178756534592005
0.08,0.15,2926,-861.8489545071708,-645.2592917250004,-7047.30857860783,-5149.6115875199575,3288.8866762174657,4544.457309379601,41.31920710868079,0.2502370432742087,0.6179023943221167,0.8120649651972159,0.41671944078088186
0.08,0.2,2926,-908.3547845352347,-731.2960051199916,-7509.232640124279,-5822.195959352732,3833.0782679355107,5249.6834159661485,41.49008885850991,0.1953250383747112,0.7217083038101082,0.8236658932714616,0.4160741034950053
0.08,0.3,2926,-932.41667117981,-878.1835062793907,-8284.766471680865,-6661.045651758068,4584.2158275855,6131.266904094271,43.233082706766915,0.1031321410868854,0.8514731762673714,0.9419953596287703,0.4115207734952197
0.08,0.25,2926,-927.50673899149,-846.264718749997,-8120.2312861646515,-6363.074465684709,4221.488497739341,5729.67207261403,42.549555707450445,0.12269153984075246,0.7923603380752887,0.8955916473317868,0.40088219006021675
0.12,0.2,2926,-911.1279158079483,-430.9642399999975,-6177.953459600001,-4645.114309393921,2236.331154828804,3249.5679849600056,37.49145591250854,0.35358310495725265,0.4273008797833597,0.5522041763341067,0.3955605445427702
0.05,0.3,2926,-1050.0370839442103,-1063.7032538013373,-9152.322073974627,-7496.365431016246,5105.650482681751,7140.313442400891,42.857142857142854,0.0,1.0,0.9164733178654292,0.39164733178654293
0.05,0.25,2926,-1099.7249599495121,-1081.198538356286,-8891.462349952155,-7359.704231456082,4797.2759977526,6642.6428472895495,42.378673957621324,0.031010141356521317,0.9267452689733591,0.8839907192575406,0.3850287374316746
0.05,0.2,2926,-1134.2466184502912,-1001.2936996380449,-8710.490657583396,-7043.11054727951,4308.304479942795,6164.507121826267,42.03691045796309,0.052523457691244856,0.8563659773151802,0.8607888631090488,0.37450275412020584
0.05,0.15,2926,-1140.577611581138,-891.9881980213977,-8237.932299276235,-6614.176855298912,3893.173448611451,5461.271108070354,41.28503075871497,0.10869963262673743,0.7528529999723831,0.8097447795823666,0.372050157525994
0.05,0.1,2926,-1086.4279741944617,-724.8150142965897,-7692.580613592741,-5765.653319989469,3123.9654560404015,4564.92593322844,40.77238550922762,0.17352923760096298,0.6209152778423833,0.7749419953596292,0.3678863254492557
0.12,0.25,2926,-982.7894481779557,-510.0202500000014,-6966.785072677612,-5137.542558926594,2640.990707473753,3743.3124479980506,37.935748462064254,0.2598094113765518,0.4999777029491995,0.5823665893271464,0.3641156166434055
0.12,0.3,2926,-1026.5473835971382,-570.010047890748,-7306.0428283926085,-5534.866770777902,2976.4098038949196,4149.021128400003,38.038277511961724,0.21947957126634787,0.5596960800242392,0.5893271461716939,0.3585292813842499
