ticker,slope_window,consec,slope_entry_thr,slope_exit_thr,consec_rises_kill,rise_kill_pct,rise_kill_window,carry_ann,other_daily_fee_ann,fee_per_trade,slippage_per_trade,buffer20,grace_days,slope_source,trades,win_rate,total_pct_return,avg_pct_return,avg_win,avg_loss,expectancy_per_trade,median_holding_days,avg_MFE_pct,avg_MAE_pct,max_draw_trade_pct,best_trade_pct,net_expectancy_per_trade,window_start,window_end,window_months,roll_seq,min_trades_window,run_id,run_mode,created_utc,window_mode
GBPCHF,6,1,-0.0001,-0.0001,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,22,0.5,0.060083,0.002731,0.013476,-0.008014,0.002731,11.5,0.010446,0.005973,-0.017615,0.039819,0.00067,2024-05-08,2025-08-08,15,7,22,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.015,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,18,0.5,0.046608,0.002589,0.012812,-0.007633,0.002589,12.5,0.011153,0.005369,-0.015222,0.038644,0.000586,2024-05-08,2025-05-08,12,7,18,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.015,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,21,0.47619,0.055058,0.002622,0.014195,-0.007899,0.002622,12.0,0.010956,0.00593,-0.017615,0.038644,0.00054,2024-05-08,2025-07-08,14,7,21,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,-0.0001,-0.0001,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,18,0.555556,0.038983,0.002166,0.011542,-0.009555,0.002166,11.0,0.008131,0.006024,-0.017615,0.029401,2.5e-05,2025-02-10,2026-02-10,12,10,18,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,-0.0001,-0.0001,0,0.015,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,24,0.5,0.049462,0.002061,0.012997,-0.008875,0.002061,11.5,0.010165,0.006186,-0.017615,0.038644,-4.3e-05,2024-05-08,2025-09-08,16,7,24,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,-0.0001,-0.0001,0,0.015,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,20,0.5,0.037013,0.001851,0.012647,-0.008945,0.001851,11.0,0.008325,0.006078,-0.017615,0.029401,-0.000319,2025-02-10,2026-03-10,13,10,20,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,21,0.428571,0.030245,0.00144,0.01239,-0.006772,0.00144,10.0,0.009066,0.005272,-0.015222,0.039819,-0.000379,2024-02-08,2025-04-08,14,6,21,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,22,0.409091,0.031156,0.001416,0.012942,-0.006563,0.001416,10.5,0.009469,0.005217,-0.015222,0.039819,-0.00042,2024-02-08,2025-05-08,15,6,22,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,-0.0001,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,53,0.433962,0.088149,0.001663,0.013155,-0.007147,0.001663,11.0,0.010409,0.005776,-0.017615,0.039819,-0.000561,2022-08-04,2025-11-04,39,0,50,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,-0.0001,-0.0001,0,0.015,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,28,0.5,0.044187,0.001578,0.012316,-0.00916,0.001578,11.5,0.009677,0.006078,-0.017615,0.038644,-0.000583,2024-05-08,2025-12-08,19,7,28,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,-0.0001,-0.0001,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,18,0.5,0.028433,0.00158,0.011373,-0.008214,0.00158,11.5,0.008497,0.006151,-0.017615,0.029401,-0.000593,2024-11-08,2025-11-10,12,9,18,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.015,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,20,0.45,0.026001,0.0013,0.012812,-0.008119,0.0013,11.5,0.010148,0.006226,-0.017615,0.038644,-0.000673,2024-05-08,2025-06-09,13,7,20,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,51,0.392157,0.072169,0.001415,0.013982,-0.006693,0.001415,10.0,0.010339,0.005862,-0.017615,0.039819,-0.000735,2022-08-04,2025-08-04,36,0,50,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,-0.0001,-0.0001,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,24,0.5,0.032723,0.001363,0.010822,-0.008095,0.001363,11.5,0.00771,0.005915,-0.017615,0.029401,-0.000777,2024-11-08,2026-03-09,16,9,24,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,-0.0001,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,58,0.431034,0.0832,0.001434,0.012834,-0.007201,0.001434,11.5,0.009999,0.005813,-0.017615,0.039819,-0.000806,2022-08-04,2026-03-04,43,0,50,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,-0.0001,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,52,0.423077,0.072433,0.001393,0.013039,-0.007147,0.001393,11.0,0.010265,0.005887,-0.017615,0.039819,-0.000809,2022-08-04,2025-10-06,38,0,50,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,22,0.454545,0.029988,0.001363,0.012449,-0.007875,0.001363,12.0,0.007976,0.006079,-0.017615,0.03926,-0.00083,2024-11-08,2026-02-09,15,9,22,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,-0.0001,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,50,0.44,0.065025,0.0013,0.01211,-0.007192,0.0013,11.0,0.009027,0.005502,-0.021926,0.039819,-0.000846,2022-11-04,2025-11-04,36,1,50,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,-0.0001,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,51,0.411765,0.061271,0.001201,0.013128,-0.007147,0.001201,11.0,0.010235,0.006002,-0.017615,0.039819,-0.00096,2022-08-04,2025-09-04,37,0,50,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,51,0.392157,0.056251,0.001103,0.013186,-0.006693,0.001103,10.0,0.010101,0.005862,-0.017615,0.039819,-0.000968,2022-08-04,2025-07-04,35,0,50,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,-0.0001,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,55,0.418182,0.066744,0.001214,0.013002,-0.00726,0.001214,11.0,0.01003,0.005891,-0.017615,0.039819,-0.000973,2022-08-04,2025-12-04,40,0,50,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,-0.0001,-0.0001,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,22,0.545455,0.026875,0.001222,0.009659,-0.008903,0.001222,12.5,0.008344,0.005861,-0.017615,0.029401,-0.000991,2024-08-08,2025-11-10,15,8,22,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,2,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,51,0.470588,0.051821,0.001016,0.010424,-0.007346,0.001016,11.0,0.008283,0.005277,-0.021179,0.038899,-0.001037,2022-11-04,2026-03-04,40,1,50,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,-0.0001,-0.0001,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,28,0.535714,0.031166,0.001113,0.009561,-0.008635,0.001113,12.5,0.007702,0.005721,-0.017615,0.029401,-0.001064,2024-08-08,2026-03-09,19,8,28,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,2,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,52,0.461538,0.052781,0.001015,0.011187,-0.007704,0.001015,11.0,0.009544,0.005885,-0.026733,0.038899,-0.001103,2022-08-04,2026-02-04,42,0,50,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,-0.0001,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,56,0.410714,0.0614,0.001096,0.013002,-0.007201,0.001096,11.0,0.009871,0.005907,-0.017615,0.039819,-0.001109,2022-08-04,2026-01-05,41,0,50,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.015,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,26,0.384615,0.021721,0.000835,0.014195,-0.007514,0.000835,11.0,0.009343,0.00608,-0.017615,0.038644,-0.001109,2024-02-08,2025-07-08,17,6,26,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,45,0.422222,0.035533,0.00079,0.010932,-0.006622,0.00079,10.0,0.008566,0.005244,-0.021926,0.039819,-0.001155,2022-11-04,2025-05-05,30,1,45,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.015,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,28,0.392857,0.02417,0.000863,0.014638,-0.00805,0.000863,11.0,0.00934,0.006327,-0.017615,0.03926,-0.001215,2024-02-08,2025-09-08,19,6,28,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,39,0.384615,0.031181,0.0008,0.012048,-0.006231,0.0008,11.0,0.008681,0.005457,-0.017615,0.039819,-0.001242,2023-05-08,2025-07-08,26,3,39,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.015,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,27,0.37037,0.021082,0.000781,0.015457,-0.007852,0.000781,11.0,0.009447,0.006346,-0.017615,0.03926,-0.001249,2024-02-08,2025-08-08,18,6,27,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,51,0.411765,0.043157,0.000846,0.012105,-0.007035,0.000846,10.0,0.008676,0.005628,-0.021926,0.039819,-0.00125,2022-11-04,2025-10-06,35,1,50,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,-0.0001,-0.0001,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,34,0.411765,0.02401,0.000706,0.01031,-0.006016,0.000706,11.5,0.008434,0.004953,-0.015222,0.039819,-0.001259,2023-05-08,2025-04-08,23,3,34,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.015,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,34,0.352941,0.028629,0.000842,0.013927,-0.006295,0.000842,11.5,0.009258,0.005615,-0.017615,0.038644,-0.00126,2023-08-08,2025-07-08,23,4,34,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,-0.0001,-0.0001,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,53,0.433962,0.043784,0.000826,0.010677,-0.006726,0.000826,11.0,0.008242,0.005287,-0.017615,0.039819,-0.001261,2023-02-06,2026-03-06,37,2,50,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,-0.0001,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,52,0.423077,0.04362,0.000839,0.011949,-0.007309,0.000839,11.0,0.008679,0.005634,-0.021926,0.039819,-0.001271,2022-11-04,2025-12-04,37,1,50,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,48,0.395833,0.033127,0.00069,0.011977,-0.006705,0.00069,10.0,0.008641,0.005582,-0.021926,0.039819,-0.00129,2022-11-04,2025-07-04,32,1,48,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,2,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,50,0.46,0.035988,0.00072,0.010189,-0.007346,0.00072,10.5,0.008158,0.00537,-0.021179,0.038899,-0.001301,2022-11-04,2026-02-04,39,1,50,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,18,0.444444,0.015362,0.000853,0.012256,-0.008268,0.000853,11.5,0.008602,0.006571,-0.017615,0.03926,-0.001303,2024-08-08,2025-08-08,12,8,18,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,-0.0001,-0.0001,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,26,0.384615,0.020034,0.000771,0.011937,-0.006209,0.000771,9.0,0.010338,0.005764,-0.016609,0.036164,-0.001319,2022-08-04,2024-01-04,17,0,26,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.01,5.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,32,0.34375,0.02057,0.000643,0.014199,-0.006458,0.000643,9.0,0.008259,0.005563,-0.021845,0.051848,-0.001325,2022-11-04,2024-08-05,21,1,32,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,40,0.375,0.030542,0.000764,0.012889,-0.006512,0.000764,10.5,0.008768,0.005652,-0.017615,0.039819,-0.001333,2023-05-08,2025-08-08,27,3,40,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,50,0.38,0.034274,0.000685,0.012652,-0.006649,0.000685,10.0,0.009761,0.005976,-0.017615,0.039819,-0.001339,2022-08-04,2025-06-04,34,0,50,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,-0.0001,-0.0001,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,27,0.407407,0.020427,0.000757,0.010888,-0.006209,0.000757,9.0,0.010156,0.00555,-0.016609,0.036164,-0.001349,2022-08-04,2024-02-05,18,0,27,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,34,0.382353,0.019847,0.000584,0.011695,-0.006294,0.000584,9.0,0.008463,0.00516,-0.021926,0.039819,-0.001352,2022-11-04,2024-10-04,23,1,34,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,36,0.388889,0.02273,0.000631,0.011006,-0.00597,0.000631,10.5,0.00859,0.005137,-0.015222,0.039819,-0.001368,2023-05-08,2025-05-08,24,3,36,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,24,0.333333,0.015031,0.000626,0.012271,-0.005196,0.000626,9.5,0.008357,0.004765,-0.013724,0.039819,-0.001369,2023-05-08,2024-09-09,16,3,24,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,24,0.375,0.01055,0.00044,0.012942,-0.007062,0.00044,10.5,0.008773,0.005944,-0.017615,0.039819,-0.001386,2024-02-08,2025-06-09,16,6,24,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,,,0.053,0.0,0.00016,2e-05,0.002,2,log_price,22,0.318182,0.015007,0.000682,0.013469,-0.005285,0.000682,10.0,0.008903,0.004979,-0.011151,0.03881,-0.001392,2023-05-08,2024-08-08,15,3,22,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,-0.0001,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,53,0.415094,0.038276,0.000722,0.011949,-0.007245,0.000722,11.0,0.008536,0.005656,-0.021926,0.039819,-0.001408,2022-11-04,2026-01-05,38,1,50,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,50,0.38,0.031973,0.000639,0.012815,-0.006823,0.000639,10.0,0.008613,0.00574,-0.021926,0.039819,-0.001414,2022-11-04,2025-09-04,34,1,50,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,-0.0001,-0.0001,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,21,0.52381,0.014686,0.000699,0.009428,-0.008903,0.000699,12.0,0.007888,0.00614,-0.017615,0.029401,-0.001444,2024-08-08,2025-10-08,14,8,21,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.01,5.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,27,0.296296,0.014972,0.000555,0.015752,-0.005844,0.000555,9.0,0.008348,0.00548,-0.013724,0.058906,-0.001465,2023-02-06,2024-08-06,18,2,27,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,20,0.4,0.010528,0.000526,0.012341,-0.00735,0.000526,8.0,0.010466,0.006545,-0.016609,0.036164,-0.001469,2022-08-04,2023-09-04,13,0,20,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,-0.0001,-0.0001,0,0.01,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,27,0.518519,0.017204,0.000637,0.009247,-0.008635,0.000637,12.0,0.00734,0.005926,-0.017615,0.029401,-0.001479,2024-08-08,2026-02-09,18,8,27,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
GBPCHF,6,1,0.0,0.0,0,0.015,3.0,0.053,0.0,0.00016,2e-05,0.002,2,log_price,50,0.4,0.028284,0.000566,0.012383,-0.007313,0.000566,10.5,0.009821,0.006138,-0.023633,0.038644,-0.001496,2022-08-04,2025-05-05,33,0,50,e08ab9ff649c,research,2026-03-11T18:06:31Z,rolling_expanding
